"Plot","PNR_Code","Area","Transect","Treatment","latitude","longitude","Elev_ft","Elev_m","days_active","num_nonmissing_intervals","Agonoleptus_thoracicus","Agonum_ferreum","Agonum_fidele","Agonum_retractum","Amerizus_unknown","Amphasia_interstitialis","Anisodactylus_harrisii","Anisodactylus_melanopus","Anisodactylus_nigerrimus","Apenes_lucidula","Carabus_goryi","Chlaenius_emarginatus","Chlaenius_laticollis","Cyclotrachelus_convivus","Cyclotrachelus_fucatus","Cyclotrachelus_sigillatus","Cymindis_limbata","Cymindis_platicollis","Dicaelus_politus","Dicaelus_teter","Galerita_bicolor","Harpalus_spadiceus","Lophoglossus_scrutator","Myas_coracinus","Notiobia_nitidipennis","Notiophilus_aeneus","Olisthopus_parmatus","Patrobus_longicornis","Platynus_angustatus","Platynus_decentis","Platynus_hypolithos","Platynus_tenuicollis","Pseudamara_arenaria","Pterostichus_adoxus","Pterostichus_atratus","Pterostichus_coracinus","Pterostichus_corvinus","Pterostichus_diligendus","Pterostichus_hamiltoni","Pterostichus_lachrymosus","Pterostichus_melanarius","Pterostichus_moestus","Pterostichus_mutus","Pterostichus_rostratus","Pterostichus_sayanus","Pterostichus_stygicus","Pterostichus_tristis","Scaphinotus_andrewsii","Scaphinotus_imperfectus","Scaphinotus_ridingsii","Scaphinotus_viduus","Sphaeroderus_canadensis","Sphaeroderus_stenostomus","Synuchus_impunctatus","Trichotichnus_autumnalis","total_count_stdz","species_richness","shannon_diversity","mean_pairwise_distance","open_habitat_spp_stdz","eurytopic_spp_stdz","forest_specialist_spp_stdz","PC1","PC2","PC3","Water_affinity","Flight_capability"
41,0,"southwest","A","Forest",40.14412,-79.27949,1635.89,498.62,68,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147058823529412,0,0,0,0,0,0,0,0,0,0,0,0.0441176470588235,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,2,1.75476535060332,0.142138159784723,0,0,0.0588235294117647,0.0355122967812909,1.41720350951855,-0.667021433105438,1,0.25
42,1,"southwest","A","Salvaged",40.14389,-79.27878,1666.54,507.96,82,6,0,0,0,0,0,0,0,0,0.0121951219512195,0,0,0,0,0,0,0,0,0,0,0.0121951219512195,0,0,0,0,0,0,0,0,0.0121951219512195,0,0,0,0,0.0121951219512195,0,0,0,0,0,0.0121951219512195,0,0.0975609756097561,0,0.024390243902439,0,0,0,0,0,0,0,0.0121951219512195,0,0,0,0.195121951219512,8,5.18735821860404,0.142256659078817,0.0121951219512195,0.0121951219512195,0.170731707317073,-0.230315337834109,0.893696894967045,-0.675008477698516,0.875,0.0625
43,2,"southwest","A","Windthrow",40.14352,-79.27795,1723.16,525.22,68,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147058823529412,0,0,0.0294117647058824,0,0,0,0,0,0,0,0,0.0441176470588235,2,1.88988157484231,0.0863262941547196,0,0,0.0441176470588235,-0.779432088388802,0.784004907495217,-1.06243376459217,0.666666666666667,0
44,3,"southwest","A","Forest",40.14325,-79.2769,1767.95,538.87,82,6,0,0,0,0,0,0,0,0,0,0,0.0609756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609756097560976,0,0.024390243902439,0,0,0,0,0,0,0,0.0121951219512195,0.0121951219512195,0,0,0.170731707317073,5,4.01660811883826,0.144377108083264,0,0.0731707317073171,0.0975609756097561,0.536030664296068,1.63523216714951,-0.423575179644427,0.821428571428572,0
45,4,"southwest","B","Forest",40.14284,-79.2804,1635.93,498.63,82,6,0,0,0,0,0,0.024390243902439,0,0,0,0,0.0365853658536585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0.0121951219512195,0,0,0,0.182926829268293,0,0,0,0,0,0.158536585365854,0,0,0,0,0.024390243902439,0,0,0,0,0,0.024390243902439,0,0.109756097560976,0.597560975609756,9,6.03953997315233,0.205906327820146,0,0.24390243902439,0.353658536585366,-0.242395478386424,0.464004550529703,-0.333324181325484,0.795918367346939,0.244897959183673
46,5,"southwest","B","Salvaged",40.14291,-79.27964,1647.8,502.25,82,6,0,0,0,0,0,0,0,0,0,0,0,0.121951219512195,0.024390243902439,0,0,0,0,0,0.024390243902439,0.024390243902439,0,0,0,0,0.0121951219512195,0,0,0,0.0365853658536585,0,0,0,0,0.0365853658536585,0,0.0365853658536585,0,0,0,0.0121951219512195,0,0.109756097560976,0,0,0,0.0487804878048781,0,0,0,0,0,0.024390243902439,0,0,0,0.51219512195122,12,9.19930784096251,0.193636651101174,0,0.25609756097561,0.25609756097561,-0.119798692986799,0.429947593770007,-0.873180096275816,0.773809523809524,0.30952380952381
47,6,"southwest","B","Windthrow",40.14267,-79.27889,1662.99,506.88,82,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121951219512195,0,0,0,0,0,0,0,0,0,0,0,0,0.0121951219512195,0,0,0,0.0609756097560976,0,0.0121951219512195,0,0,0,0.0121951219512195,0,0,0,0,0,0,0,0,0,0,0.024390243902439,0,0,0.134146341463415,6,4.66601703852399,0.166119925904496,0,0.0853658536585366,0.0487804878048781,-0.0283844432801951,0.50824825739451,-0.337107139339066,0.727272727272727,0.0909090909090909
48,7,"southwest","B","Forest",40.14253,-79.27799,1725.2,525.84,82,6,0,0,0,0,0,0,0,0,0,0,0.0609756097560976,0,0,0,0,0.0121951219512195,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121951219512195,0,0,0,0,0,0.0121951219512195,0,0.0731707317073171,0,0.0365853658536585,0,0,0,0,0,0,0,0,0.0487804878048781,0,0,0.280487804878049,8,6.51127507273485,0.14933281907243,0,0.134146341463415,0.146341463414634,0.31086965663237,1.57425454849903,-0.295282867180221,0.804347826086957,0
49,8,"southwest","C","Salvaged",40.14187,-79.27998,1650.89,503.19,82,6,0,0.0121951219512195,0.378048780487805,0,0,0.0121951219512195,0.024390243902439,0.0121951219512195,0,0,0,0.024390243902439,0,0,0.0121951219512195,0,0,0,0.0121951219512195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365853658536585,0,0,0,0,0,0,0,0,0.682926829268293,0,0,0,0,0,0,0.0365853658536585,0,0.0121951219512195,1.25609756097561,12,3.74995171614885,0.180634500754349,0.024390243902439,1.17073170731707,0.0609756097560976,-0.597829615889379,-0.117298750689787,0.0069799855301439,0.980582524271845,0.407766990291262
50,9,"southwest","C","Forest",40.14202,-79.28066,1637.83,499.21,82,6,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0.0731707317073171,0,0,0,0,0,0,0,0.0121951219512195,0,0,0,0,0,0,0.0121951219512195,0,0.024390243902439,0,0,0,0,0,0,0.0609756097560976,0,0,0,0,0,0.024390243902439,0,0,0,0.024390243902439,0,0,0,0,0,0.0121951219512195,0.0609756097560976,0,0,0.329268292682927,10,8.13522205834408,0.238835852555889,0,0.231707317073171,0.0975609756097561,0.0910135835829221,0.413662898254433,-0.291010455461273,0.759259259259259,0.333333333333333
51,10,"southwest","C","Windthrow",40.14182,-79.27952,1661.58,506.45,82,6,0,0,0,0.0121951219512195,0,0,0,0,0,0,0,0.121951219512195,0,0.0121951219512195,0,0.024390243902439,0,0,0.0853658536585366,0.0975609756097561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121951219512195,0,0,0.0731707317073171,0,0.0121951219512195,0,0.024390243902439,0,0,0,0,0,0,0,0.0487804878048781,0.0609756097560976,0,0,0.585365853658537,12,8.99111725397418,0.190575604094375,0,0.304878048780488,0.280487804878049,0.0384195310663116,0.728024311653579,-0.451524185481985,0.635416666666667,0.239583333333333
52,11,"southwest","C","Forest",40.14174,-79.27862,1681.66,512.57,82,6,0,0,0,0,0,0,0,0,0,0,0.25609756097561,0,0,0,0,0,0,0,0.0487804878048781,0.207317073170732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731707317073171,0,0.182926829268293,0,0,0,0,0,0,0,0,0,0,0.146341463414634,0,0,0.914634146341463,6,5.29284149004781,0.132324961001718,0,0.475609756097561,0.439024390243902,0.638313317220974,1.56560174078517,-0.162907412327704,0.68,0
53,12,"northeast","D","Salvaged",40.14405,-79.27582,1754.99,534.92,68,5,0,0,0,0,0,0,0,0,0.0147058823529412,0,0.0147058823529412,0.514705882352941,0,0,0,0.0147058823529412,0,0,0.308823529411765,0.0294117647058824,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0,0.0294117647058824,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.0147058823529412,0,0,0,0,0.0147058823529412,0.0147058823529412,0,0,1.25,12,5.00750391749392,0.175980743786982,0.0147058823529412,0.617647058823529,0.617647058823529,-0.245848575786716,0.268167839622185,-0.828297337928677,0.605882352941176,0.458823529411765
